shot_number,result,right_elbow_angle,right_shoulder_angle,right_wrist_extension,left_elbow_angle,right_knee_angle,left_knee_angle,right_hip_angle,shoulder_tilt,hip_tilt,knee_spread,release_height,release_x_position,body_vertical_alignment,ball_hoop_distance_x,ball_hoop_distance_y,ball_hoop_total_distance,release_angle_to_hoop
1,make,178.732744,175.2062706,43,155.883827,171.900408,171.7605994,171.286727,3,0,44,706,1203,17,70,207,218.7719336,110.6582935
2,make,165.5119089,163.8953774,27,170.2251411,174.0919911,180.007993,175.6018004,2,1,22,748,1175,35,177,211,275.9415056,118.9008203
3,make,165.1105103,168.4633849,38,162.8089947,176.1470279,161.9443235,173.9424582,2,2,56,715,1264,22,89,211,229.5447612,133.6241571
4,miss,79.6521664,68.9011359,-46,146.9492493,130.7290835,143.034635,166.547044,8,5,11,635,1169,48,60,138,150.9423108,105.2877602
5,make,148.6619505,156.7134154,-4,127.8755701,171.1806849,168.4652702,161.9325358,7,3,0,555,1131,54,63,175,186.2858767,112.1724067
6,miss,85.8890135,77.6708652,13,133.4415485,141.741194,155.6453385,153.8560181,10,7,34,562,808,34,21,139,140.7100235,101.0851955
7,miss,126.1439363,130.2353455,15,108.1450182,148.3222934,141.2096478,150.3213469,8,3,7,666,1381,59,58,150,161.7146283,95.3929159
8,miss,68.0251622,64.0931521,-19,108.634384,143.1451225,126.8765985,162.7707861,10,3,27,630,1498,34,50,143,152.2141701,103.7753233
9,make,137.0521543,147.2528237,55,153.5403327,162.0184747,158.079348,169.4543798,7,2,1,649,1163,14,93,190,211.8402638,115.6370236
10,miss,150.9547359,149.0958409,-15,158.8640129,183.9219176,156.1628086,163.8157623,3,1,12,716,1267,33,47,186,192.8820227,99.3537787
11,miss,161.6289474,162.5876693,9,190.4900971,174.6551305,173.744384,177.7262709,2,0,80,786,1244,21,96,200,222.2650816,115.043328
12,miss,109.9559104,92.0166992,-34,115.0044652,140.1429756,137.5342164,155.465371,12,3,6,621,1116,67,30,86,91.6870818,109.5693369
13,make,167.7057758,169.719236,19,175.8151409,172.1877092,178.4590267,172.7191186,3,0,7,755,1256,12,90,203,222.3964998,102.6029167
14,make,142.9916543,138.8527049,-8,91.941642,161.9696288,139.6733616,162.1216968,10,5,10,658,1351,64,63,139,152.9225714,84.2878726
15,make,153.7489652,153.9790173,33,171.7134008,173.0659831,169.2401533,171.7237843,3,2,33,817,1143,14,62,186,197.0298675,110.4951843
